"dataEmissao","tipoDespesa","valorLiq"
"10/06","ASSINATURA DE PUBLICAÇÕES",886.86
"11/06","ASSINATURA DE PUBLICAÇÕES",1214.7
"12/06","ASSINATURA DE PUBLICAÇÕES",842.14
"14/06","ASSINATURA DE PUBLICAÇÕES",250
"15/06","ASSINATURA DE PUBLICAÇÕES",183.48
"16/06","ASSINATURA DE PUBLICAÇÕES",329.9
"17/06","ASSINATURA DE PUBLICAÇÕES",150
"18/06","ASSINATURA DE PUBLICAÇÕES",1086
"20/06","ASSINATURA DE PUBLICAÇÕES",168.01
"21/06","ASSINATURA DE PUBLICAÇÕES",21.9
"22/06","ASSINATURA DE PUBLICAÇÕES",1063.64
"23/06","ASSINATURA DE PUBLICAÇÕES",320.9
"25/06","ASSINATURA DE PUBLICAÇÕES",59.9
"26/06","ASSINATURA DE PUBLICAÇÕES",841.5
"27/06","ASSINATURA DE PUBLICAÇÕES",22.52
"28/06","ASSINATURA DE PUBLICAÇÕES",37.96
"29/06","ASSINATURA DE PUBLICAÇÕES",720.9
"30/06","ASSINATURA DE PUBLICAÇÕES",775.4
"01/07","ASSINATURA DE PUBLICAÇÕES",150
"03/07","ASSINATURA DE PUBLICAÇÕES",1930.02
"05/07","ASSINATURA DE PUBLICAÇÕES",513.1
"06/07","ASSINATURA DE PUBLICAÇÕES",428.9
"08/07","ASSINATURA DE PUBLICAÇÕES",1576.8
"09/07","ASSINATURA DE PUBLICAÇÕES",180
"10/07","ASSINATURA DE PUBLICAÇÕES",415
"13/07","ASSINATURA DE PUBLICAÇÕES",780
"14/07","ASSINATURA DE PUBLICAÇÕES",157.9
"15/07","ASSINATURA DE PUBLICAÇÕES",654
"16/07","ASSINATURA DE PUBLICAÇÕES",692.2
"18/07","ASSINATURA DE PUBLICAÇÕES",37.96
"19/07","ASSINATURA DE PUBLICAÇÕES",860
"20/07","ASSINATURA DE PUBLICAÇÕES",642.48
"21/07","ASSINATURA DE PUBLICAÇÕES",51.8
"22/07","ASSINATURA DE PUBLICAÇÕES",1459.67
"24/07","ASSINATURA DE PUBLICAÇÕES",47.8
"27/07","ASSINATURA DE PUBLICAÇÕES",176
"28/07","ASSINATURA DE PUBLICAÇÕES",349
"29/07","ASSINATURA DE PUBLICAÇÕES",514.8
"31/07","ASSINATURA DE PUBLICAÇÕES",866
"03/08","ASSINATURA DE PUBLICAÇÕES",200
"04/08","ASSINATURA DE PUBLICAÇÕES",2911.5
"05/08","ASSINATURA DE PUBLICAÇÕES",180
"06/08","ASSINATURA DE PUBLICAÇÕES",797.83
"07/08","ASSINATURA DE PUBLICAÇÕES",365
"08/08","ASSINATURA DE PUBLICAÇÕES",929.6
"10/08","ASSINATURA DE PUBLICAÇÕES",495
"12/08","ASSINATURA DE PUBLICAÇÕES",606
"13/08","ASSINATURA DE PUBLICAÇÕES",21.75
"14/08","ASSINATURA DE PUBLICAÇÕES",525.9
"17/08","ASSINATURA DE PUBLICAÇÕES",112.76
"19/08","ASSINATURA DE PUBLICAÇÕES",751.82
"20/08","ASSINATURA DE PUBLICAÇÕES",800
"21/08","ASSINATURA DE PUBLICAÇÕES",551.9
"25/08","ASSINATURA DE PUBLICAÇÕES",1344.88
"26/08","ASSINATURA DE PUBLICAÇÕES",520
"27/08","ASSINATURA DE PUBLICAÇÕES",80
"28/08","ASSINATURA DE PUBLICAÇÕES",512.96
"29/08","ASSINATURA DE PUBLICAÇÕES",521.4
"01/09","ASSINATURA DE PUBLICAÇÕES",2115
"02/09","ASSINATURA DE PUBLICAÇÕES",1046.59
"03/09","ASSINATURA DE PUBLICAÇÕES",1270
"04/09","ASSINATURA DE PUBLICAÇÕES",323.7
"05/09","ASSINATURA DE PUBLICAÇÕES",628.56
"08/09","ASSINATURA DE PUBLICAÇÕES",44.84
"09/09","ASSINATURA DE PUBLICAÇÕES",250
"10/09","ASSINATURA DE PUBLICAÇÕES",350.7
"11/09","ASSINATURA DE PUBLICAÇÕES",360
"14/09","ASSINATURA DE PUBLICAÇÕES",613.9
"15/09","ASSINATURA DE PUBLICAÇÕES",390
"16/09","ASSINATURA DE PUBLICAÇÕES",237.5
"17/09","ASSINATURA DE PUBLICAÇÕES",98.9
"18/09","ASSINATURA DE PUBLICAÇÕES",37.96
"20/09","ASSINATURA DE PUBLICAÇÕES",70
"21/09","ASSINATURA DE PUBLICAÇÕES",201.91
"22/09","ASSINATURA DE PUBLICAÇÕES",456
"23/09","ASSINATURA DE PUBLICAÇÕES",47.8
"24/09","ASSINATURA DE PUBLICAÇÕES",300.02
"25/09","ASSINATURA DE PUBLICAÇÕES",376.06
"27/09","ASSINATURA DE PUBLICAÇÕES",240.03
"28/09","ASSINATURA DE PUBLICAÇÕES",412
"29/09","ASSINATURA DE PUBLICAÇÕES",89.68
"30/09","ASSINATURA DE PUBLICAÇÕES",990
"01/10","ASSINATURA DE PUBLICAÇÕES",4720.1
"05/10","ASSINATURA DE PUBLICAÇÕES",68.9
"06/10","ASSINATURA DE PUBLICAÇÕES",99.64
"07/10","ASSINATURA DE PUBLICAÇÕES",580
"09/10","ASSINATURA DE PUBLICAÇÕES",1158.51
"11/10","ASSINATURA DE PUBLICAÇÕES",913.9
"13/10","ASSINATURA DE PUBLICAÇÕES",1698.58
"15/10","ASSINATURA DE PUBLICAÇÕES",55
"16/10","ASSINATURA DE PUBLICAÇÕES",758.7
"19/10","ASSINATURA DE PUBLICAÇÕES",299.4
"20/10","ASSINATURA DE PUBLICAÇÕES",1460.34
"21/10","ASSINATURA DE PUBLICAÇÕES",21.9
"22/10","ASSINATURA DE PUBLICAÇÕES",951.33
"23/10","ASSINATURA DE PUBLICAÇÕES",134.6
"24/10","ASSINATURA DE PUBLICAÇÕES",97.75
"25/10","ASSINATURA DE PUBLICAÇÕES",159.9
"26/10","ASSINATURA DE PUBLICAÇÕES",271.2
"27/10","ASSINATURA DE PUBLICAÇÕES",223.8
"29/10","ASSINATURA DE PUBLICAÇÕES",400
"31/10","ASSINATURA DE PUBLICAÇÕES",963.9
"04/11","ASSINATURA DE PUBLICAÇÕES",1812
"05/11","ASSINATURA DE PUBLICAÇÕES",572
"06/11","ASSINATURA DE PUBLICAÇÕES",100
"09/11","ASSINATURA DE PUBLICAÇÕES",540.43
"11/11","ASSINATURA DE PUBLICAÇÕES",190
"13/11","ASSINATURA DE PUBLICAÇÕES",1660.8
"16/11","ASSINATURA DE PUBLICAÇÕES",39.9
"17/11","ASSINATURA DE PUBLICAÇÕES",628.8
"18/11","ASSINATURA DE PUBLICAÇÕES",799
"21/11","ASSINATURA DE PUBLICAÇÕES",21.9
"23/11","ASSINATURA DE PUBLICAÇÕES",790.73
"24/11","ASSINATURA DE PUBLICAÇÕES",805.38
"25/11","ASSINATURA DE PUBLICAÇÕES",1370.94
