"dataEmissao","tipoDespesa","valorLiq"
"24/08","COMBUSTÍVEIS E LUBRIFICANTES.",49138.77
"25/08","COMBUSTÍVEIS E LUBRIFICANTES.",48468.72
"26/08","COMBUSTÍVEIS E LUBRIFICANTES.",20964.97
"27/08","COMBUSTÍVEIS E LUBRIFICANTES.",13901.46
"28/08","COMBUSTÍVEIS E LUBRIFICANTES.",67876.81
"29/08","COMBUSTÍVEIS E LUBRIFICANTES.",56542.52
"30/08","COMBUSTÍVEIS E LUBRIFICANTES.",66803.66
"31/08","COMBUSTÍVEIS E LUBRIFICANTES.",129972.59
"01/09","COMBUSTÍVEIS E LUBRIFICANTES.",120789.03
"02/09","COMBUSTÍVEIS E LUBRIFICANTES.",25571.32
"03/09","COMBUSTÍVEIS E LUBRIFICANTES.",14274.07
"04/09","COMBUSTÍVEIS E LUBRIFICANTES.",87734.3
"05/09","COMBUSTÍVEIS E LUBRIFICANTES.",58057.55
"06/09","COMBUSTÍVEIS E LUBRIFICANTES.",48323.84
"07/09","COMBUSTÍVEIS E LUBRIFICANTES.",17094.04
"08/09","COMBUSTÍVEIS E LUBRIFICANTES.",39429.75
"09/09","COMBUSTÍVEIS E LUBRIFICANTES.",10313.14
"10/09","COMBUSTÍVEIS E LUBRIFICANTES.",17252.17
"11/09","COMBUSTÍVEIS E LUBRIFICANTES.",41506.48
"12/09","COMBUSTÍVEIS E LUBRIFICANTES.",25337.35
"13/09","COMBUSTÍVEIS E LUBRIFICANTES.",28996.44
"14/09","COMBUSTÍVEIS E LUBRIFICANTES.",32376.27
"15/09","COMBUSTÍVEIS E LUBRIFICANTES.",28908.99
"16/09","COMBUSTÍVEIS E LUBRIFICANTES.",24143.24
"17/09","COMBUSTÍVEIS E LUBRIFICANTES.",10110.81
"18/09","COMBUSTÍVEIS E LUBRIFICANTES.",38504.57
"19/09","COMBUSTÍVEIS E LUBRIFICANTES.",13484.37
"20/09","COMBUSTÍVEIS E LUBRIFICANTES.",12430.45
"21/09","COMBUSTÍVEIS E LUBRIFICANTES.",9532.33
"22/09","COMBUSTÍVEIS E LUBRIFICANTES.",10216.74
"23/09","COMBUSTÍVEIS E LUBRIFICANTES.",2604.33
"24/09","COMBUSTÍVEIS E LUBRIFICANTES.",2038.76
"25/09","COMBUSTÍVEIS E LUBRIFICANTES.",11778.24
"26/09","COMBUSTÍVEIS E LUBRIFICANTES.",3040.28
"01/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",5000
"02/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",20000
"03/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",5000
"05/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",56425
"06/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",29400
"07/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",68949.4
"08/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48476.58
"09/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",9000
"12/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",45800
"13/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",43286
"14/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",11000
"15/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",44669
"18/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",10000
"19/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",43066.07
"20/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",72717
"21/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",96700
"22/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",73877.5
"23/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",30117.49
"24/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",67
"26/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",32000
"27/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60048
"28/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",99850
"29/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",22500
"30/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",74904
"31/01","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",8100
"02/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",69650.08
"03/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",43701
"04/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",20581
"05/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48560.88
"06/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",14376
"07/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",12000
"09/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",26100
"10/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",10420
"11/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",4400
"12/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",25000
"13/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",17000
"19/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",17000
"20/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",55722
"21/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",100
"23/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",55829
"24/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",72000
"25/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",71900
"26/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",66498
"27/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",111140
"28/02","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",26000
"01/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",1800
"02/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",112058.58
"03/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",58854.25
"04/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",93632
"05/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60523
"06/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",52345
"08/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",14000
"09/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",47846
"10/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",85671.4
"11/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",61371.4
"12/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",61737.7
"13/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",110810
"16/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",28833
"17/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",52142
"18/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",55169
"19/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",53690
"20/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",30900
"23/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",69400
"24/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60450
"25/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",103300
"26/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",53000
"27/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60545.4
"28/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",6000
"30/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",161528
"31/03","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",123337.34
"01/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",134399.96
"02/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",56961.75
"03/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",4500
"06/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",85286.08
"07/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",99062
"08/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",100308
"09/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",99480
"10/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",34690
"13/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",36695.48
"14/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",50000
"15/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",118000
"16/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",57958.4
"17/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",38670
"20/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",30171.4
"22/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",74850.74
"23/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",44000
"24/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",70100
"27/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",76100
"28/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",120900
"29/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",105926
"30/04","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",102404
"01/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",22688.52
"02/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",1000
"04/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",215229.07
"05/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",163107.31
"06/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",117430
"07/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",33491
"08/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",75500
"10/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",10000
"11/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",52723
"12/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",76130
"13/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",14120
"14/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",75250
"15/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",71450
"18/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",177514
"19/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",32129
"20/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",62931.74
"21/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",67679.88
"22/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",56500
"25/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",85730
"26/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",42210
"27/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",118720
"28/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",113600
"29/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",186653
"30/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",71000
"31/05","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",44300
"01/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",211368.7
"02/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",82591.8
"03/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",54158.3
"04/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",8100
"05/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",30830
"08/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",111916.9
"09/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",73450
"10/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",91831
"11/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",45430
"12/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",36720
"15/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",46800
"16/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",140788
"17/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",80768
"18/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",104606
"19/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",76826.12
"22/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",89672.2
"23/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",69000
"24/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",55308
"25/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",113600
"26/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",74900
"28/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",4000
"29/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",128132.34
"30/06","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",215740.24
"01/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",173627.2
"02/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",135750.8
"03/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48824
"04/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",195.01
"06/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",42280
"07/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",112599
"08/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",86488.75
"09/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",40950
"10/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",11831
"11/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",151.9
"13/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",90197
"14/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",63689
"15/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",128832
"16/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",57100
"17/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",9899
"20/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",44974
"21/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",45100
"22/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",51716.21
"23/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",35100
"24/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",42312.5
"27/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",59800
"28/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",74560
"29/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",45835.35
"30/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60150
"31/07","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",128976
"01/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",7000
"02/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",12000
"03/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",274976.39
"04/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",189990.25
"05/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",121760.94
"06/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",77104
"07/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",46320
"08/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",16000
"10/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",138609.3
"11/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",112977.9
"12/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",41006
"13/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",68320.03
"14/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",13630.32
"17/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",60079.8
"18/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",87382
"19/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",23000
"20/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",79252.5
"21/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",41394
"24/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",120333.17
"25/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",148240
"26/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",21000
"27/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",70300
"28/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",47889
"29/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",100
"30/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",150.01
"31/08","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",149261
"01/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",309228.7
"02/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",171036
"03/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",122710
"04/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48881
"05/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",100.03
"07/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",16160
"08/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",46297.81
"09/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",104850
"10/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",45455.4
"11/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",46490.43
"13/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",6090
"14/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",86232
"15/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",116815.02
"16/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",106199
"17/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",35064.3
"18/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48997.18
"21/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",138735
"22/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",63830
"23/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",116180
"24/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",61818
"25/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",65700
"26/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",10800
"28/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",108540
"29/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",115210
"30/09","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",219358.83
"01/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",248829.8
"02/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",91592
"03/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",4500
"05/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",150451.76
"06/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",153449.24
"07/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",68770
"08/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",78047
"09/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",44354
"10/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",161.9
"12/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",6090
"13/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",111833
"14/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",46700
"15/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",8000
"16/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",40500
"17/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",7137.83
"18/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",7000
"19/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",55000
"20/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",74122.22
"21/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",121693
"22/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",72600
"23/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",34759
"24/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",5356.18
"25/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",3000
"26/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",77151.14
"27/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",32410
"28/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",155750
"29/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",123982
"30/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",49155.8
"31/10","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",12000
"01/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",17260
"02/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",500
"03/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",409018.6
"04/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",198824.9
"05/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",78469.4
"06/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",30062
"07/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",194.68
"09/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",53400
"10/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",90221
"11/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",58771
"12/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",26563
"13/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",124700
"14/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",2606
"16/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",121398.53
"17/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",57280
"18/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",145436
"19/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",83240
"20/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",23100
"22/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",8000
"23/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",96173
"24/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",40380
"25/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",106160
"26/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",146005
"27/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",69150
"28/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",6000
"29/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",5000
"30/11","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",314390
"01/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",325630
"02/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",209123.8
"03/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",71617.7
"04/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",98005.51
"06/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",1440
"07/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",188580.04
"08/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",48760
"09/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",194924.82
"10/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",123154
"11/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",36630
"12/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",7500
"13/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",3500
"14/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",118850
"15/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",104976
"16/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",142680
"17/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",130913.93
"18/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",61200
"21/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",253830
"22/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",159050.3
"23/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",50870.41
"24/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",3520
"28/12","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",84038.71
